TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;08.771.962/0001-56;OITI FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;80885025.24;;;SCP;DOL X PRE
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO FI MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;529443095.88;;2024-01-29;SCP;DOL X PRE
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO FI MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;359460278.01;;2024-01-29;SEP;REU X PRE
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO FI MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;253229722.35;;2024-01-29;Outros;999 X 999
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO FI MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;175915866.17;;2024-01-29;SDP;DI1 X PRE
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO FI MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;127200225.34;;2024-01-29;SDC;DI1 X DOL
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO FI MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;10015356.55;;2024-01-29;SCE;DOL X REU
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO FI MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;59632586.01;;2024-01-29;SDL;DI1 X IAP
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO FI MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;352632792.22;;2024-01-29;SEP;REU X PRE
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO FI MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;480507137.67;;2024-01-29;SCP;DOL X PRE
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO FI MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;657464220.85;;2024-01-29;Outros;999 X 999
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO FI MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;785226584.32;;2024-01-29;SDC;DI1 X DOL
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO FI MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;879484868.82;;2024-01-29;SDP;DI1 X PRE
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO FI MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;138435.89;;2024-01-29;SCE;DOL X REU
