TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
CLASSES - FIF;55.897.646/0001-05;WHG JBA DEBÊNTURES INCENTIVADAS FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;710018.02;;2026-01-29;SDL;DI1 X IAP
CLASSES - FIF;56.237.770/0001-07;SANTANDER PB SPLIT MULTIMERCADO CRED PRIV - FUNDO DE INVESTIMENTO FINANCEIRO;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1947501.86;;2026-01-29;SDP;DI1 X PRE
CLASSES - FIF;56.283.391/0001-53;SANTANDER PB ROMA III MULTIMERCADO CRÉDITO PRIVADO - FUNDO DE INVESTIMENTO FINANCEIRO;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;544987.80;;;SDP;DI1 X PRE
CLASSES - FIF;56.706.600/0001-24;SEVEN POUNDS DEBÊNTURES INCENTIVADAS HEDGE CDI FIRF CP DE RESPONSABILIDADE LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;5564.95;;2026-01-29;SDP;DI1 X PRE
CLASSES - FIF;56.706.600/0001-24;SEVEN POUNDS DEBÊNTURES INCENTIVADAS HEDGE CDI FIRF CP DE RESPONSABILIDADE LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;358.43;;2026-01-29;SDP;DI1 X PRE
CLASSES - FIF;57.748.037/0001-10;ITAÚ SOLUTIONS VEGA MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;3623.96;;;SDP;DI1 X PRE
CLASSES - FIF;59.121.474/0001-34;EDGE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;16651.46;;2026-01-29;SDC;DI1 X DOL
CLASSES - FIF;59.559.015/0001-37;ZRO ARB CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;10249.34;;;SCP;DOL X PRE
CLASSES - FIF;59.559.015/0001-37;ZRO ARB CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;79606.11;;;SCP;DOL X PRE
CLASSES - FIF;59.791.603/0001-00;TREND CREDITO CDI FIF RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;23018.87;;2026-01-29;Outros;999 X 999
CLASSES - FIF;60.100.937/0001-60;NU ESTRATÉGIA PROTEGIDA FIF MULTIMERCADO LONGO PRAZO RESPONSABILIDADE LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;22355.66;;;SDP;DI1 X PRE
CLASSES - FIF;60.647.338/0001-61;CVP XP XINGU BONDS IS FUNDO DE INVESTIMENTO EM RENDA FIXA RESPONSABILIDADE LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1755991.01;;2026-01-29;SDP;DI1 X PRE
CLASSES - FIF;60.647.338/0001-61;CVP XP XINGU BONDS IS FUNDO DE INVESTIMENTO EM RENDA FIXA RESPONSABILIDADE LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;2379596.68;;2026-01-29;SDP;DI1 X PRE
CLASSES - FIF;60.742.785/0001-08;PRODHOS FIF - CLASSE DE INVESTIMENTO RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;77941.27;;;SDL;DI1 X IAP
CLASSES - FIF;60.742.785/0001-08;PRODHOS FIF - CLASSE DE INVESTIMENTO RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;291297.21;;;SDL;DI1 X IAP
CLASSES - FIF;60.773.619/0001-60;XP CLUB DEAL FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;2122966.38;;;SCP;DOL X PRE
CLASSES - FIF;60.901.168/0001-08;CLASSE ÚNICA DE INVESTIMENTO DO RECOVERY AMB FIF MULTIMERCADO CP IE RESP LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;351553.00;;2026-01-29;Outros;999 X 999
CLASSES - FIF;71.586.432/0001-74;BRAM H MULTI FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;2266232.75;;;SDL;DI1 X IAP
FI;02.727.085/0001-30;MÁXIMA  FMP - FGTS  PETROBRAS;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;SDP;DI1 X PRE
